nsgName,nsgResourceGroup,ruleName,access,protocol,direction,priority,sourceAddresses,sourcePorts,destAddresses,destPorts,description
nsg01,sample-rg,AllowALL.subnet-in,Allow,*,inbound,1000,192.168.0.0/24;172.16.0.0/24;10.0.0.0/24,*,VirtualNetwork,*,
nsg01,sample-rg,AllowALL.ALB-in,Allow,*,inbound,2000,AzureLoadBalancer,*,*,*,
nsg01,sample-rg,DenyALL-in,Deny,*,inbound,4096,*,*,*,*,
nsg01,sample-rg,AllowALL.subnet-out,Allow,*,outbound,1000,192.168.0.0/24;172.16.0.0/24;10.0.0.0/24,*,VirtualNetwork,*,
nsg01,sample-rg,DenyALL-out,Deny,*,outbound,4096,*,*,*,*,
nsg02,sample-rg,Allow53.google-out,Allow,UDP,outbound,1000,VirtualNetwork,*,8.8.8.8,53,
nsg02,sample-rg,DenyALL.Internet-out,Deny,*,outbound,4000,VirtualNetwork,*,Internet,*,
nsg03,sample-rg,Allow80_443.internet-in,Allow,TCP,inbound,1000,Internet,*,10.0.0.0/26;10.0.0.64/26;10.0.0.128/26,80;443,
nsg03,sample-rg,AllowALL.ALB-in,Allow,*,inbound,2000,AzureLoadBalancer,*,*,*,
nsg03,sample-rg,DenyALL-in,Deny,*,inbound,4096,*,*,*,*,
nsg03,sample-rg,AllowALL.subnet-out,Allow,*,outbound,1000,192.168.0.0/24;172.16.0.0/24;10.0.0.0/24,*,10.0.0.0/26;10.0.0.64/26;10.0.0.128/26,*,
nsg03,sample-rg,DenyALL-out,Deny,*,outbound,4096,*,*,*,*,
